TEAM_ABBREVIATION,avg_fouls,game_count,max_fouls,avg_margin
OKC,26.2,5,30,-0.8
WAS,25.0,5,30,-1.8
POR,24.142857142857142,14,33,-0.2857142857142857
PHX,24.0,10,29,-0.7
UTA,23.625,8,29,0.875
SAS,23.555555555555557,9,36,1.1111111111111112
DET,23.181818181818183,11,31,0.18181818181818182
IND,22.875,8,29,-1.125
MIN,22.7,10,29,1.3
BOS,22.666666666666668,9,28,0.4444444444444444
HOU,22.555555555555557,9,26,-0.7777777777777778
GSW,22.454545454545453,11,27,-1.0
ORL,22.181818181818183,11,29,0.6363636363636364
TOR,22.0,4,28,1.0
CLE,22.0,5,27,0.0
ATL,21.727272727272727,11,26,0.7272727272727273
MIL,21.5,8,28,-1.0
LAC,21.444444444444443,9,28,-2.3333333333333335
LAL,21.142857142857142,7,30,2.7142857142857144
SAC,21.0,9,29,1.0
NOP,20.25,8,24,-0.75
MEM,20.0,5,25,0.4
MIA,19.77777777777778,9,28,1.0
CHI,19.76923076923077,13,29,0.7692307692307693
DAL,19.7,10,26,0.7
NYK,19.666666666666668,3,22,0.3333333333333333
DEN,19.625,8,28,-0.875
CHA,19.4,5,26,-3.2
PHI,19.363636363636363,11,25,0.18181818181818182
BKN,17.0,1,17,-5.0
